Generator,Scenario,Category
3_Ghent,nonfocus_TVA,Boiler (Coal)
3_Gibson,nonfocus_MISO,Boiler (Coal)
3_H_Dickerson,nonfocus_PJM,Boiler (Coal)
3_H_South_Oak_Creek,nonfocus_MISO,Boiler (Coal)
3_Hammond,nonfocus_SERC,Boiler (Coal)
3_HMP_L_Station_Two_Henderson,nonfocus_MISO,Boiler (Coal)
3_Homer_City_Generating_Station,nonfocus_PJM,Boiler (Coal)
3_J_B_Sims,nonfocus_MISO,Boiler (Coal)
3_J_H_Campbell,nonfocus_MISO,Boiler (Coal)
3_J_M_Stuart,nonfocus_PJM,Boiler (Coal)
3_James_H_Miller_Jr,nonfocus_SERC,Boiler (Coal)
3_James_River_Power_Station,nonfocus_SPP,Boiler (Coal)
3_Joppa_Steam,nonfocus_MISO,Boiler (Coal)
3_Kenneth_C_Coleman,nonfocus_MISO,Boiler (Coal)
3_Kyger_Creek,nonfocus_PJM,Boiler (Coal)
3_L_Dickerson,nonfocus_PJM,Boiler (Coal)
3_L_G_G_Allen,nonfocus_SERC,Boiler (Coal)
3_L_South_Oak_Creek,nonfocus_MISO,Boiler (Coal)
3_Labadie,nonfocus_MISO,Boiler (Coal)
3_Lingan,nonfocus_NBSO,Boiler (Coal)
3_Marshall__NC_,nonfocus_SERC,Boiler (Coal)
3_Mill_Creek__KY_,nonfocus_TVA,Boiler (Coal)
3_Monroe__MI_,nonfocus_MISO,Boiler (Coal)
3_Mt_Storm,nonfocus_PJM,Boiler (Coal)
3_Scherer,nonfocus_SERC,Boiler (Coal)
