Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,2_Baldwin_Energy_Complex,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Belews_Creek,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_Belle_River,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Boundary_Dam,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,2_Bowen,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_Cardinal,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Cayuga,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Cayuga_Operating_Company,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_Charles_R_Lowman,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_Clay_Boswell,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Clifty_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Clover,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_Coal_Creek,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Coffeen,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Columbia__WI_,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Dallman,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_E_W_Brown,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_East_Bend,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Elmer_Smith,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_F_B_Culley,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_FirstEnergy_Bruce_Mansfield,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_FirstEnergy_Fort_Martin_Power_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_FirstEnergy_Harrison_Power_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_FirstEnergy_Pleasants_Power_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_Gerald_Gentleman,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Ghent,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_Gibson,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_GREC,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_Greene_County,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_H_Chalk_Point_LLC,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_H_Conemaugh,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_H_Dickerson,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_H_Keystone,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_H_Sioux,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_H_South_Oak_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_H_Waukegan,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Hammond,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_Holcomb,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Homer_City_Generating_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_Iatan,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_J_H_Campbell,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_J_M_Stuart,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_James_H_Miller_Jr,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_John_E_Amos,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Joppa_Steam,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Kenneth_C_Coleman,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_Killen_Station,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Kincaid_Generation_LLC,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Kyger_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_L_Belews_Creek,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_L_Chalk_Point_LLC,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_L_Conemaugh,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_L_Dickerson,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_L_G_G_Allen,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_L_Keystone,Coal_MA,Boiler (Coal),-
Generator.Fuels,2_L_Marshall__NC_,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_L_Sioux,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_L_South_Oak_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_L_Waukegan,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_La_Cygne,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Labadie,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Leland_Olds,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Lingan,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_Marshall__NC_,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_Mecklenburg_Power_Station,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_Merom,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Merrimack,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_Mill_Creek__KY_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_Mitchell__WV_,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Monroe__MI_,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_Nebraska_City,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_Paradise,Coal_ESC,Boiler (Coal),-
